Contributor,Commits,Added,Deleted,Repos
jeffshee,15,1755,532,1
jhaygood86,15,250,128,1
miDeb,15,162,102,1
orontee,15,173,25,1
swanux,15,2877,738,1
leesonwai,15,132,38,2
abstractdevelop,15,109,627,1
zaguragit,15,46,39,1
esodan,15,214,161,1
anxolerd,15,826,66,1
nielsdg,15,602,310,3
aalmiray,15,648,446,1
PanderMusubi,15,113,115,1
t-paul,15,306,73,1
stloeffler,15,340,228,1
fat0troll,15,460,239,1
nouspiro,15,245,100,1
kohend,15,488,142,1
johan-bjareholt,14,72,40,1
cameronwhite,14,307,395,2
0neGal,14,122,25,1
Witherking25,14,461,262,1
johnbotris,14,147,35,1
gicmo,14,342,94,2
BeverlyCode,14,65,9,2
vzhd1701,14,1459,257,1
gombosg,14,24,18,2
eshimoniak,14,333,304,1
emericg,14,885,372,2
cboxdoerfer,14,61,24,1
cges30901,14,168,115,1
fabrialberio,14,96,60,1
HelpSeeker,14,238,98,1
kaschpal,14,93,19,1
markummitchell,14,256,279,1
fkrull,14,488,69,2
heroesiiifan,14,392,152,1
jorio,14,196,610,5
dsd,14,1002,312,3
Blackburn29,14,7860,7903,2
vorot93,14,339,113,1
ovari,14,258,90,3
anton-z-s,14,69,44,2
ripxorip,14,180,25,1
gkarsay,14,482,400,1
StephenMcConnel,14,79443,18692,1
wez,14,11248,3397,1
mtwebster,14,360,122,1
anpopa,14,116,76,1
wsnipex,14,1467,293,1
sztomi,14,710,22,2
riscygeek,14,117,90,1
12people,13,327,164,4
fkinoshita,13,67,9,9
GZYangKui,13,122,60,1
HugLifeTiZ,13,152,95,9
MartinPesek,13,101,93,1
andrunko,13,679,89,4
pontaoski,13,102,62,1
jmlich,13,66,20,1
tommytran732,13,69,15,4
petebuffon,13,140,65,1
PolyMeilex,13,9538,5380,1
weclaw1,13,3064,1342,1
cunidev,13,110,40,2
guillerm0p,13,147,55,1
petr-stefan-szn,13,71,42,1
ctron,13,181,34,5
cscarney,13,44,14,1
sireliah,13,56,21,1
flinkebitsmachineuser,13,238,24,1
tobias-hammerschmidt,13,79,69,1
allisonkarlitskaya,13,455,224,2
dtchanpura,13,211,216,1
ClementPasteau,13,106,33,1
dubstar-04,13,171,117,1
leonardschardijn,13,81,42,1
iuyte,13,842,702,1
Frinksy,13,15325,8436,1
kpthedev,13,99,14,1
stuartlangridge,13,230,97,3
alemart,13,561,475,1
Zer0xFF,13,90,26,1
emiljoha,13,141,62,1
hhanh00,12,173,83,1
tarmaciltur,12,108,27,1
geekgonecrazy,12,373,250,2
daenney,12,194,20,4
Bluefissure,12,1740,146,1
thiblahute,12,855,1726,3
matfantinel,12,29,39,2
RajSolai,12,260,115,2
ColinDuquesnoy,12,61,20,2
amrmsaraya,12,52,41,1
svelle,12,50,47,1
Gaeldrin,12,485,56,1
debfx,12,46,137,4
mzabaluev,12,36,43,1
Born2Crawl,12,4889,4911,1
LucasXu0,12,195,73,1
Bollos00,12,119,18,1
thorpelawrence,12,5695,553,1
hypengw,12,55,31,1
paledega,12,50,50,1
kusma,12,414,116,2
technic,12,58,34,1
JayDoubleu,12,340,61,2
pablo-s,12,112,39,1
Lugsole,12,99,632,1
Marko10-000,12,211,77,3
tpikonen,12,269,206,2
herzenschein,12,3694,3603,1
tsmock,12,158,83,1
aivarannamaa,12,1166,770,1
acperkins,12,328,215,1
andreas-jonsson,12,413,312,1
proninyaroslav,12,218,33,1
l-n-s,12,212,91,1
ljoonal,12,5251,1546,1
robiot,12,398,353,1
Justinzobel,11,67,35,2
milkknife,11,1467,921,2
eminfedar,11,119,86,1
priahoud,11,910,29,6
jameswestman,11,84,38,3
DevAlien,11,101,19,1
ElTh0r0,11,43,18,1
go-ten,11,22,22,8
Asghwor,11,353,37,1
raibtoffoletto,11,152,75,1
Suzie97,11,89,40,1
rolandlo,11,158,126,1
hwittenborn,11,135,57,1
Sinihopea,11,304,94,1
lettier,11,1720,275,1
simonxciv,11,170,73,1
tintou,11,363,102,4
slouken,11,563,335,1
TTimo,11,42,27,1
ernstp,11,946,20,2
krupkat,11,412,307,1
gwutz,11,3641,51,1
webagentur-hartmann,11,20,10,1
zwarf12,11,193,25,1
SalaniLeo,11,254,19,1
kra-mo,11,203,68,1
Raatty,11,149,44,1
Snaggly,11,371,254,3
FoxxMD,11,5556,270,1
giantpinkrobots,11,159,664,1
roypen,11,4777,98,1
cyberphantom52,11,153,95,1
gregorni,11,105,38,1
alexnovichkov,11,5818,12,1
